Z1 , Z2,Z1+Z2
(3.66+5.34j),(2.26+3.94j),(5.92+9.28j)
(3.63+7.38j),(8.44+5.9j),(12.07+13.280000000000001j)
(5.5+1.59j),(6.23+9.47j),(11.73+11.06j)
(3.85+2.17j),(2.72+5.39j),(6.57+7.56j)
(2.47+3.85j),(4.96+8.85j),(7.43+12.7j)
(6.23+4.2j),(1.44+9.68j),(7.67+13.879999999999999j)
(7.35+9.15j),(6.25+5.34j),(13.6+14.49j)
(0.42+0.11j),(6.79+1.52j),(7.21+1.6300000000000001j)
(2.44+2.95j),(8.18+3.96j),(10.62+6.91j)
(6.92+8.15j),(9.91+0.33j),(16.83+8.48j)
(6.69+3.97j),(5.53+5.47j),(12.22+9.44j)
(8.25+2.1j),(6.62+2.11j),(14.870000000000001+4.21j)
(8.08+3.77j),(7.61+6.25j),(15.690000000000001+10.02j)
(3.35+8.68j),(9.95+7.76j),(13.299999999999999+16.439999999999998j)
(7.67+4.39j),(8.74+3.31j),(16.41+7.699999999999999j)
(5.56+3.01j),(8.72+5.6j),(14.280000000000001+8.61j)
(0.94+9.84j),(7.55+7.89j),(8.49+17.73j)
(4.07+0.15j),(1.93+7.69j),(6+7.840000000000001j)
(6.8+4.55j),(8.55+5.06j),(15.350000000000001+9.61j)
(9.63+5.02j),(6.76+1.08j),(16.39+6.1j)
(2.49+3.31j),(8.44+6.38j),(10.93+9.69j)
(8.08+9.97j),(6.51+8.49j),(14.59+18.46j)
(2.03+7.31j),(5.31+0.14j),(7.34+7.449999999999999j)
(4.19+7.75j),(0.09+1.8j),(4.28+9.55j)
(9.29+2.23j),(0.54+2.6j),(9.829999999999998+4.83j)
(7.37+5.45j),(3.17+5.25j),(10.54+10.7j)
(2+2.56j),(5.64+5.97j),(7.64+8.53j)
(6.48+7.04j),(5.5+1.5j),(11.98+8.54j)
(9.76+4.12j),(5.54+7.97j),(15.3+12.09j)
(5.04+3.81j),(7.48+0.65j),(12.52+4.46j)
(3.78+6.99j),(2.09+1.29j),(5.869999999999999+8.280000000000001j)
(5.53+4.83j),(4.47+6.07j),(10+10.9j)
(7.73+3.22j),(3.05+1.76j),(10.780000000000001+4.98j)
(0.53+2.24j),(6.3+3.66j),(6.83+5.9j)
(4+4.44j),(3.7+2.85j),(7.7+7.290000000000001j)
(0.16+8.98j),(1.55+1.33j),(1.71+10.31j)
(5.57+5.76j),(1.78+2.66j),(7.3500000000000005+8.42j)
(3.57+7.11j),(8.78+6.14j),(12.35+13.25j)
(8.19+7.37j),(1.33+5.91j),(9.52+13.280000000000001j)
(7.2+7.62j),(6.33+1.97j),(13.530000000000001+9.59j)
(0.31+5.88j),(5.89+8.73j),(6.199999999999999+14.61j)
(8.77+3.04j),(3.58+2j),(12.35+5.04j)
(2.54+9.6j),(9.15+9.47j),(11.690000000000001+19.07j)
(4.8+7.3j),(9.55+5.46j),(14.350000000000001+12.76j)
(1.07+2.38j),9.26j,(1.07+11.64j)
(0.35+8.57j),(1.13+1.14j),(1.48+9.71j)
(5.93+3.6j),(3.54+4.18j),(9.469999999999999+7.779999999999999j)
(3.57+5.85j),(7.29+0.15j),(10.86+6j)
(5.63+1.02j),(9.17+6.43j),(14.8+7.449999999999999j)
(4.19+9.67j),(7.47+2.69j),(11.66+12.36j)
(3.95+3.03j),(4.73+1.03j),(8.68+4.06j)
(7.48+3.85j),(6.58+4.59j),(14.06+8.44j)
(4.06+9.3j),(8.24+1.32j),(12.3+10.620000000000001j)
(9.73+6.03j),(8.97+9.2j),(18.700000000000003+15.23j)
(9.5+2.31j),(4.8+2.03j),(14.3+4.34j)
(9+5.2j),(5.33+2.58j),(14.33+7.78j)
(0.03+6.76j),(9.5+9.34j),(9.53+16.1j)
(7.8+8.79j),(8.32+5.74j),(16.12+14.53j)
(5.49+5.42j),(2.49+7.71j),(7.98+13.129999999999999j)
(3.1+8.79j),(9.83+9.7j),(12.93+18.49j)
(0.4+7.23j),(6.5+9.71j),(6.9+16.94j)
(2.29+3.18j),(7.46+2.99j),(9.75+6.17j)
(2.3+6.21j),(7.76+1.24j),(10.059999999999999+7.45j)
(2.44+9.58j),(6.96+7.71j),(9.4+17.29j)
(0.64+5.6j),(5.98+7.51j),(6.62+13.11j)
(9.4+5.03j),(5.51+8.01j),(14.91+13.04j)
(2.05+0.8j),(4.18+2.74j),(6.2299999999999995+3.54j)
(6.49+4.13j),(3.2+0.25j),(9.690000000000001+4.38j)
(0.12+7.83j),(7.88+1.17j),(8+9j)
(0.08+5.5j),(3.24+1.95j),(3.3200000000000003+7.45j)
(2.57+5.11j),(6.9+6.66j),(9.47+11.77j)
(4.1+5.93j),(5.53+5.65j),(9.629999999999999+11.58j)
(9.6+7.42j),(4.03+3.52j),(13.629999999999999+10.94j)
(3.07+1.41j),(9.1+2j),(12.17+3.41j)
(7.99+1.27j),(1.71+7.87j),(9.7+9.14j)
(4.14+6.25j),(6.41+5.17j),(10.55+11.42j)
(3.48+8.42j),(3.15+9.74j),(6.63+18.16j)
(4.45+3.73j),(2.2+9.11j),(6.65+12.84j)
(2.39+0.54j),(3.05+9.29j),(5.4399999999999995+9.829999999999998j)
(2.53+1.89j),(1.66+3.56j),(4.1899999999999995+5.45j)
(3.04+8.6j),(8.98+5.92j),(12.02+14.52j)
(7.2+1.16j),(5.8+8.67j),(13+9.83j)
(3.52+9.39j),(6.98+9.01j),(10.5+18.4j)
(8.11+6.16j),(8.91+6.71j),(17.02+12.870000000000001j)
(7.28+6.71j),(6.61+0.45j),(13.89+7.16j)
(1.2+2.4j),(1.58+4.53j),(2.7800000000000002+6.93j)
(6.27+3.5j),(7.11+5.63j),(13.379999999999999+9.129999999999999j)
(5.94+5.33j),(7.27+8.27j),(13.21+13.6j)
(7.95+5.31j),(4.42+5.16j),(12.370000000000001+10.469999999999999j)
(0.06+5.15j),(9.24+6.01j),(9.3+11.16j)
(0.97+6.61j),(1.03+3.24j),(2+9.850000000000001j)
(1.08+9.36j),(2.81+0.15j),(3.89+9.51j)
(7.1+2.16j),(9.05+9.73j),(16.15+11.89j)
(7.81+7.2j),(7.91+1.69j),(15.719999999999999+8.89j)
(8.65+8.27j),(5.36+7.28j),(14.010000000000002+15.55j)
(1.25+3.84j),(1.67+9.49j),(2.92+13.33j)
(4.76+0.46j),(5.76+6.66j),(10.52+7.12j)
(4.67+5.2j),(3.84+9.91j),(8.51+15.11j)
(2.1+2.58j),(2.11+7.44j),(4.21+10.02j)
(5.18+7.18j),(9.34+8.25j),(14.52+15.43j)
(7.67+6.89j),(8.18+0.14j),(15.85+7.029999999999999j)
(8.25+9.18j),(0.28+0.29j),(8.53+9.469999999999999j)
(0.34+7.27j),(2.4+7.54j),(2.7399999999999998+14.809999999999999j)
(5.4+3.96j),(9.35+0.83j),(14.75+4.79j)
(0.48+8.65j),(0.11+2.52j),(0.59+11.17j)
(0.64+8.76j),(2.37+6.75j),(3.0100000000000002+15.51j)
(2.45+7.1j),(4.15+1.92j),(6.6000000000000005+9.02j)
(7.1+7.47j),(0.37+2.99j),(7.47+10.46j)
(4.47+7.15j),(6.93+5.79j),(11.399999999999999+12.940000000000001j)
(1.29+1.64j),(9.79+5.01j),(11.079999999999998+6.6499999999999995j)
(5.25+2.89j),(9.58+0.33j),(14.83+3.22j)
(8+0.89j),(6.7+2.17j),(14.7+3.06j)
(8.46+0.38j),(5.43+3.38j),(13.89+3.76j)
(9.36+3.21j),(7.19+4.96j),(16.55+8.17j)
(2.47+7.88j),(3.59+9.87j),(6.0600000000000005+17.75j)
(0.35+2.35j),(9.12+6.84j),(9.469999999999999+9.19j)
(9.89+7.84j),(7.34+6.67j),(17.23+14.51j)
(5.19+6.15j),(0.45+9.76j),(5.640000000000001+15.91j)
(6.61+8.25j),(8.19+6.31j),(14.8+14.559999999999999j)
(9.03+6.98j),(7.98+6.39j),(17.009999999999998+13.370000000000001j)
(0.04+5.03j),(6.79+7.65j),(6.83+12.68j)
(3.91+1.07j),(9.24+3.65j),(13.15+4.72j)
(1.21+4.54j),(1.06+4.5j),(2.27+9.04j)
(7.03+8.32j),(0.32+1.41j),(7.3500000000000005+9.73j)
(6.54+9.77j),(2.17+9j),(8.71+18.77j)
(2.89+4.65j),(7.47+6.22j),(10.36+10.870000000000001j)
(8.79+3.17j),(5.16+0.48j),(13.95+3.65j)
(7.62+0.29j),(0.39+7.08j),(8.01+7.37j)
(9.03+6.57j),(7.61+7.52j),(16.64+14.09j)
(4.66+6.21j),(5.57+9.96j),(10.23+16.17j)
(9.55+9.3j),(4.94+5.55j),(14.490000000000002+14.850000000000001j)
(2.21+3.12j),(2.93+4.27j),(5.140000000000001+7.39j)
(2.32+4.44j),(7.91+1.98j),(10.23+6.42j)
(1.52+8.56j),(5.7+3.03j),(7.220000000000001+11.59j)
(4.39+9.14j),(7.99+7.66j),(12.379999999999999+16.8j)
(8.35+9.21j),(0.43+7.52j),(8.78+16.73j)
(0.86+7.19j),(1.5+4.1j),(2.36+11.29j)
(6.23+6.69j),(6.05+9.43j),(12.280000000000001+16.12j)
(3.11+4.31j),(9.92+8.16j),(13.03+12.469999999999999j)
(6.99+9.71j),(6.39+3.7j),(13.379999999999999+13.41j)
(8.36+8.91j),(8.57+8.33j),(16.93+17.240000000000002j)
(3.28+1.77j),(4.1+6.83j),(7.379999999999999+8.6j)
(1.76+4.89j),(0.91+4.34j),(2.67+9.23j)
(7.11+9.04j),(0.26+8.91j),(7.37+17.95j)
(7.9+5.22j),(3.64+8.9j),(11.540000000000001+14.120000000000001j)
(8.84+8.13j),(4.41+1.27j),(13.25+9.4j)
(1.79+7.84j),(5.37+8.7j),(7.16+16.54j)
(5.61+5.81j),(1.65+8.02j),(7.26+13.829999999999998j)
(7.32+3.32j),(8.54+7.59j),(15.86+10.91j)
(8.47+3.77j),(4.62+0.1j),(13.09+3.87j)
(8.19+1.5j),(3.77+9.41j),(11.959999999999999+10.91j)
(8.36+7.2j),(2.99+1.12j),(11.35+8.32j)
(7.59+9.56j),(3.9+1.52j),(11.49+11.08j)
(0.48+0.14j),(0.44+9.18j),(0.9199999999999999+9.32j)
(1.5+1.01j),(2.95+8.21j),(4.45+9.22j)
(7.31+5.01j),(2.45+9.61j),(9.76+14.62j)
(0.57+5.1j),(9.28+8.05j),(9.85+13.15j)
(1.73+1.37j),(6.69+0.96j),(8.42+2.33j)
(5.03+4.21j),(6.75+5.18j),(11.780000000000001+9.39j)
(3+4.89j),(2.62+0.54j),(5.62+5.43j)
(2.63+6.43j),(8.89+2.5j),(11.52+8.93j)
(7.35+4.15j),(3.64+4.94j),(10.99+9.09j)
(9.63+7.58j),(6.52+0.92j),(16.15+8.5j)
(3.16+7.14j),(4.2+0.6j),(7.36+7.739999999999999j)
(4.5+3.68j),(7.41+8.47j),(11.91+12.15j)
(1.96+7.87j),(5.01+2.34j),(6.97+10.21j)
(1.28+5.71j),(4.48+8.75j),(5.760000000000001+14.46j)
(2.53+8.71j),(3.29+2.93j),(5.82+11.64j)
(7.19+4.71j),(8.2+7.64j),(15.39+12.35j)
(0.79+6.3j),(4.1+0.8j),(4.89+7.1j)
(1.13+3.42j),(1.38+3.82j),(2.51+7.24j)
(0.44+8.28j),(3.93+5.75j),(4.37+14.03j)
(9.8+0j),(5.96+9.47j),(15.760000000000002+9.47j)
(3.7+0.87j),(5.43+7.33j),(9.129999999999999+8.2j)
(8.52+2.61j),(8.24+4j),(16.759999999999998+6.609999999999999j)
(3.8+7.78j),(8.57+4.23j),(12.370000000000001+12.010000000000002j)
(4.98+0.14j),(8.45+6.62j),(13.43+6.76j)
(5.09+6.1j),(8.49+2.18j),(13.58+8.28j)
(2.9+0.55j),(7.43+5.55j),(10.33+6.1j)
(3.85+5.34j),(2.75+3.21j),(6.6+8.55j)
(1.51+2.26j),(2.51+4.59j),(4.02+6.85j)
(7.83+7.14j),(4.37+8.79j),(12.2+15.93j)
(6.98+1j),(1.37+2.85j),(8.350000000000001+3.85j)
(8.78+2.84j),(3.42+9.15j),(12.2+11.99j)
(9.6+0.67j),(1.4+7.07j),(11+7.74j)
(5.66+7.28j),(5.62+3.63j),(11.280000000000001+10.91j)
(9.69+8.9j),(6.23+2.78j),(15.92+11.68j)
(3.13+7.61j),(0.1+8.4j),(3.23+16.01j)
(9.78+0j),(3.94+5.07j),(13.719999999999999+5.07j)
(6.56+5.51j),(7.86+4.31j),(14.42+9.82j)
(5.44+7.39j),(7.76+5.84j),(13.2+13.23j)
(2.52+1.08j),(5.14+4.54j),(7.66+5.62j)
(0.19+0.28j),(6.71+3.7j),(6.9+3.9800000000000004j)
(6.63+9.47j),(0.24+5.43j),(6.87+14.9j)
(8.54+0.08j),(9.81+5.52j),(18.35+5.6j)
(2.88+1.63j),(3.59+0.19j),(6.47+1.8199999999999998j)
(3.79+3.56j),(4.61+4.87j),(8.4+8.43j)
(3.53+8.99j),(7.88+2.44j),(11.41+11.43j)
(8.8+4.66j),(2.83+2.74j),(11.63+7.4j)
(2.36+9.09j),(5.67+8.34j),(8.03+17.43j)
(9.39+6.84j),(6.51+5.49j),(15.9+12.33j)
(2.66+4.67j),(1.1+5.89j),(3.7600000000000002+10.559999999999999j)
(3.27+7.73j),(5.81+2.95j),(9.08+10.68j)
(9.36+8.74j),(4.35+2.31j),(13.709999999999999+11.05j)
(9.72+0.28j),(7.98+0.7j),(17.700000000000003+0.98j)
(5.87+2.97j),(0.89+6.46j),(6.76+9.43j)
(0.9+1.11j),(6.12+4.63j),(7.0200000000000005+5.74j)
(1.12+7.81j),(9.51+2.3j),(10.629999999999999+10.11j)
(3.21+2.13j),(1.28+9.5j),(4.49+11.629999999999999j)
(6+9.59j),(7.54+9.92j),(13.54+19.509999999999998j)
(1.94+3.3j),(6.32+5.59j),(8.26+8.89j)
(7.77+7.79j),(6.32+2.72j),(14.09+10.51j)
(3.83+0.81j),(1.53+6.22j),(5.36+7.029999999999999j)
(5.21+9.56j),(8.18+5.91j),(13.39+15.47j)
(9+1.96j),(1.2+7.04j),(10.2+9j)
(5.99+1.29j),(1.44+1.75j),(7.43+3.04j)
(8.7+4.16j),(5.99+0.8j),(14.69+4.96j)
(6.18+2.88j),(4.52+1.28j),(10.7+4.16j)
(8+6.62j),(8.4+1.49j),(16.4+8.11j)
(3.85+5.83j),(5.15+6.59j),(9+12.42j)
(8.78+9.59j),(5.61+3.82j),(14.39+13.41j)
(0.48+0.54j),(4.4+3.81j),(4.880000000000001+4.35j)
(7.7+0.28j),(2.51+5.44j),(10.21+5.720000000000001j)
(8.69+5.95j),(4.69+7.1j),(13.379999999999999+13.05j)
(1.72+9.23j),(1.25+2.19j),(2.9699999999999998+11.42j)
(8.5+4.31j),(2.43+8.46j),(10.93+12.77j)
(8.69+6.7j),(3.94+6.1j),(12.629999999999999+12.8j)
(3.92+0.64j),(5.24+3.61j),(9.16+4.25j)
(5.19+6.2j),(5.62+6.61j),(10.81+12.81j)
(7.25+4.34j),(9.49+0.9j),(16.740000000000002+5.24j)
(3.22+2.6j),(0.93+9.28j),(4.15+11.879999999999999j)
(1.22+3.81j),(3.66+4.68j),(4.88+8.49j)
(0.23+7.22j),(6.39+5.17j),(6.62+12.39j)
(7.93+3.64j),(1.78+9.56j),(9.709999999999999+13.200000000000001j)
(7.71+3.41j),(3.55+8.36j),(11.26+11.77j)
(4.89+7.28j),(1.2+9.02j),(6.09+16.3j)
(3.12+6.16j),(3.47+9.46j),(6.59+15.620000000000001j)
(8.51+6.72j),(8.11+5.23j),(16.619999999999997+11.95j)
(7.36+6.05j),(6.07+6.33j),(13.43+12.379999999999999j)
(8.66+5.53j),(4.12+9.25j),(12.780000000000001+14.780000000000001j)
(0.4+1.53j),(2.57+7.33j),(2.9699999999999998+8.86j)
(2.95+1.39j),(2.51+2.58j),(5.46+3.9699999999999998j)
(6.94+1.6j),(1.38+9.29j),(8.32+10.889999999999999j)
(8.75+5.98j),(2.92+6.33j),(11.67+12.31j)
(5.62+2.76j),(2.36+6.46j),(7.98+9.219999999999999j)
(8.73+4.64j),(4.84+1.92j),(13.57+6.56j)
(1.19+8.42j),(3.28+8.59j),(4.47+17.009999999999998j)
(2.62+1.45j),(7.16+1.27j),(9.780000000000001+2.7199999999999998j)
(1.72+7.48j),3.7j,(1.72+11.18j)
(3.98+2.92j),(5.45+9.28j),(9.43+12.2j)
(3+1.43j),(1.92+5.63j),(4.92+7.06j)
(7.83+2.72j),(8.01+0.09j),(15.84+2.81j)
(2.21+4.86j),(5.13+7.69j),(7.34+12.55j)
(5.31+3.57j),(8.19+4.86j),(13.5+8.43j)
(8.56+8.16j),(2.54+7.54j),(11.100000000000001+15.7j)
(8.14+6.15j),(5.37+9.66j),(13.510000000000002+15.81j)
(2.97+8.77j),(7.6+4.12j),(10.57+12.89j)
(1.91+2.31j),(1.74+4.63j),(3.65+6.9399999999999995j)
(8.77+3.24j),(7.84+8.33j),(16.61+11.57j)
(7.5+5.27j),(9.99+4.29j),(17.490000000000002+9.559999999999999j)
(6.09+1.44j),(3.64+4.51j),(9.73+5.949999999999999j)
(8.12+9.79j),(1.34+4.07j),(9.459999999999999+13.86j)
(5.83+6j),(2.59+3.1j),(8.42+9.1j)
(7.53+8.91j),(3.21+2.25j),(10.74+11.16j)
(2.53+9.29j),(0.96+5.53j),(3.4899999999999998+14.82j)
(6.61+8.58j),(4.91+9.63j),(11.52+18.21j)
(9.2+7.68j),(6.87+5.26j),(16.07+12.94j)
(4.72+2.19j),(6.41+2.04j),(11.129999999999999+4.23j)
(9.51+0.92j),(4.45+3.7j),(13.96+4.62j)
(4.74+9.62j),(1.76+3.17j),(6.5+12.79j)
(8.26+4.13j),(3.44+5.71j),(11.7+9.84j)
(9.79+0.35j),(1.29+2.88j),(11.079999999999998+3.23j)
(8.48+9.78j),(6.17+7.23j),(14.65+17.009999999999998j)
(8.38+5.08j),(9.29+9.26j),(17.67+14.34j)
(9.68+8.06j),(1.99+2.55j),(11.67+10.61j)
(8.29+2.76j),(4.88+8.96j),(13.169999999999998+11.72j)
(8.19+8.64j),(1.37+4.16j),(9.559999999999999+12.8j)
(3.18+4.91j),(6.83+3.98j),(10.01+8.89j)
(1.2+7.48j),(9.61+6.51j),(10.809999999999999+13.99j)
(0.18+9.77j),(9.46+6.61j),(9.64+16.38j)
(4.78+2.28j),(0.63+2.35j),(5.41+4.63j)
(5.06+3.08j),(9.68+6.79j),(14.739999999999998+9.870000000000001j)
(1.19+3.23j),(6.77+3.92j),(7.959999999999999+7.15j)
(9.53+9.78j),(8.53+2.95j),(18.06+12.73j)
(2.71+4.75j),(2.04+9.62j),(4.75+14.37j)
(0.32+8.19j),(5.31+0.35j),(5.63+8.54j)
(4.68+4.68j),(6.1+2.34j),(10.78+7.02j)
(2.7+7.78j),(2.65+0.45j),(5.35+8.23j)
(2.79+0.75j),(3.27+6.87j),(6.0600000000000005+7.62j)
(3.63+0.37j),(7.66+5.34j),(11.29+5.71j)
(0.83+6.75j),(1.84+5.55j),(2.67+12.3j)
(1.56+3.99j),(6.64+0.93j),(8.2+4.92j)
(8.86+6.33j),(9.24+0.47j),(18.1+6.8j)
(1.94+3.3j),(7.67+6.65j),(9.61+9.95j)
(9.1+6.82j),(8.05+3.14j),(17.15+9.96j)
(6.52+2.41j),(5.85+5.91j),(12.37+8.32j)
(8.06+7.6j),(9.6+9.12j),(17.66+16.72j)
(4.03+4.3j),(0.85+2j),(4.88+6.3j)
(5.85+4.67j),(4.84+9.88j),(10.69+14.55j)
(2+6.86j),(1+4.95j),(3+11.81j)
(1.99+1.02j),(4.28+1.83j),(6.2700000000000005+2.85j)
(9.17+1.36j),(8.02+4.89j),(17.189999999999998+6.25j)
(5.78+7.25j),(7.89+7.22j),(13.67+14.469999999999999j)
(5.95+6.05j),(3.19+6.91j),(9.14+12.96j)
(7.21+7.74j),(5.14+8.62j),(12.35+16.36j)
(7.06+2.83j),(6.26+4.19j),(13.32+7.0200000000000005j)
(8.01+3.3j),(6.44+3.75j),(14.45+7.05j)
(2.58+4.62j),(1.31+7.36j),(3.89+11.98j)
(7.2+3.08j),(0.24+9.47j),(7.44+12.55j)
(5.08+4.11j),(3.97+0j),(9.05+4.11j)
(3.14+8.96j),(9.99+6.45j),(13.13+15.41j)
(5.33+9.62j),(5.39+7.54j),(10.719999999999999+17.16j)
(8.21+2.86j),(5.36+0.1j),(13.57+2.96j)
(6.62+1.73j),(4.93+6.35j),(11.55+8.08j)
(9.88+5.71j),(8.38+8.21j),(18.26+13.920000000000002j)
(8.91+4.13j),(5.6+9.57j),(14.51+13.7j)
(0.92+7.43j),(7.75+7.68j),(8.67+15.11j)
(4.13+4.15j),(6.36+8.91j),(10.49+13.06j)
(3.47+3.69j),(8.32+1.34j),(11.790000000000001+5.03j)
(9.28+1.43j),(8.79+9.06j),(18.07+10.49j)
(0.54+8.07j),(5.37+2.03j),(5.91+10.1j)
(4.21+4.47j),(0.34+9.49j),(4.55+13.96j)
(4.16+7.59j),(9.38+5.5j),(13.540000000000001+13.09j)
(1.83+1.86j),(0.96+6.85j),(2.79+8.709999999999999j)
(5.24+9.22j),(3.63+1.81j),(8.870000000000001+11.030000000000001j)
(0.12+2.51j),(2.02+4.95j),(2.14+7.46j)
(5.36+4.54j),(2.08+9.8j),(7.44+14.34j)
(0.31+8.3j),(0.95+7.14j),(1.26+15.440000000000001j)
(1.12+1.36j),(9.37+0.09j),(10.489999999999998+1.4500000000000002j)
(6.85+9.19j),(3.81+6.1j),(10.66+15.29j)
(9.08+6.09j),(4.39+8.67j),(13.469999999999999+14.76j)
(1.19+2.66j),(9.99+5.2j),(11.18+7.86j)
(5.15+5.77j),(9.22+1.42j),(14.370000000000001+7.1899999999999995j)
(9.8+8.81j),(8.85+0.3j),(18.65+9.110000000000001j)
(3.25+4.36j),(9.94+9.45j),(13.19+13.809999999999999j)
(6.02+2.33j),(4.8+4.56j),(10.82+6.89j)
(8.34+5.17j),(8.81+7.81j),(17.15+12.98j)
(4.58+8.05j),(9.92+1.6j),(14.5+9.65j)
(6.51+2.01j),(5.42+9.44j),(11.93+11.45j)
(6.35+5.55j),(8.72+4.43j),(15.07+9.98j)
(3.22+0.13j),(4.41+7.81j),(7.630000000000001+7.9399999999999995j)
(7.79+5.18j),(1.6+7.29j),(9.39+12.469999999999999j)
(9.55+0.82j),(3.64+0.32j),(13.190000000000001+1.14j)
(3.13+1.95j),(3.28+5.04j),(6.41+6.99j)
(8.55+7.11j),(8.81+6.1j),(17.36+13.21j)
(9.04+5.51j),(6.16+7.61j),(15.2+13.120000000000001j)
(8.64+4.05j),(1.22+1.13j),(9.860000000000001+5.18j)
(9.43+6.36j),(1.18+9.94j),(10.61+16.3j)
(1.88+7.43j),(6.39+5.02j),(8.27+12.45j)
(3.43+0.7j),(2.19+2.12j),(5.62+2.8200000000000003j)
(3.17+9.32j),(7.82+0.97j),(10.99+10.290000000000001j)
(8.59+0.73j),(5.9+8.19j),(14.49+8.92j)
(0.1+9.11j),(0.15+9.78j),(0.25+18.89j)
(5.42+0.45j),(2.7+5.62j),(8.120000000000001+6.07j)
(0.08+9.83j),(0.99+7.09j),(1.07+16.92j)
(2.13+5.5j),(9.51+6.65j),(11.64+12.15j)
(5.02+6.17j),(9.53+2.99j),(14.549999999999999+9.16j)
(9.16+5.84j),(8.69+4.42j),(17.85+10.26j)
(5.03+5.15j),(3.29+2.57j),(8.32+7.720000000000001j)
(3.82+2.64j),(3.52+1.54j),(7.34+4.18j)
(5.26+0.27j),(7.55+2.59j),(12.809999999999999+2.86j)
(9.52+3.86j),(4.22+1.29j),(13.739999999999998+5.15j)
(7.86+5.49j),(8.79+1.98j),(16.65+7.470000000000001j)
(8.9+6.03j),(6.86+4.43j),(15.760000000000002+10.46j)
(8.27+5.85j),(1.98+5.87j),(10.25+11.719999999999999j)
(8.17+0.31j),(4.76+4.61j),(12.93+4.92j)
(5.63+2.14j),(3.83+8.32j),(9.46+10.46j)
(7.22+5.11j),(7.91+8.71j),(15.129999999999999+13.82j)
(1.42+7.33j),(5.53+0.3j),(6.95+7.63j)
(3.8+7.04j),(9.15+8.87j),(12.95+15.91j)
(1.1+6.81j),(5.58+7.86j),(6.68+14.67j)
(4.33+0.4j),(6.59+9.36j),(10.92+9.76j)
(5.62+9.38j),(7.54+5.26j),(13.16+14.64j)
(5.26+7.12j),(5.95+6.21j),(11.21+13.33j)
(1.77+3.41j),(1.58+0.54j),(3.35+3.95j)
(0.2+1.97j),(7.27+4.51j),(7.47+6.4799999999999995j)
(4.62+3.32j),(9.37+8.04j),(13.989999999999998+11.36j)
(0.57+4.05j),(9.07+9.43j),(9.64+13.48j)
(2.58+5.39j),(3.43+6.97j),(6.01+12.36j)
(2.81+9.65j),(4.57+6.05j),(7.380000000000001+15.7j)
(1.17+4.12j),(6.24+1.84j),(7.41+5.96j)
(4.59+2.99j),(2.16+7.4j),(6.75+10.39j)
(8.51+8.46j),(9.22+8.93j),(17.73+17.39j)
(6.15+0.49j),(3.61+6.49j),(9.76+6.98j)
